track_id,track_title,sc_url,ep_title,ep_url,play_count,like_count,engagement_rate,sutra,lyrics_title,lyrics_id,playlist_count,in_airtable_import_set,playlist_name,playlist_url
2044681260,[7] Step into Russel's rhythm (2) • DUBsutra,https://soundcloud.com/bananasutra/7-step-into-russels-rhythm-2-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,202,1,0.495050,,Step into Russel's rhythm (2),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2074302276,[7] Who Needs a Big D - bruh LOFI DUB,https://soundcloud.com/bananasutra/7-who-needs-a-big-d-bruh-lofi-dub-7,Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,https://soundcloud.com/bananasutra/sets/who-needs-a-big-d-ep-x8-vol-1-jazz-n-dub,201,2,0.995025,,Who Needs a Big D - bruh LOFI DUB,,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681264,[8] Reason fi di win • RAGGAsutra,https://soundcloud.com/bananasutra/8-reason-fi-di-win-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,407,4,0.982801,KNOWsutra,Question Di Kingdom,L-199,3,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2074302284,[8] Who Needs a Big D? - Anonymous DUB,https://soundcloud.com/bananasutra/8-who-needs-a-big-d-anonymous-dub-8,Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,https://soundcloud.com/bananasutra/sets/who-needs-a-big-d-ep-x8-vol-1-jazz-n-dub,274,4,1.459854,,Who Needs a Big D? - Anonymous DUB,,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681249,[9] Reason fi di win • RAGGAsutra,https://soundcloud.com/bananasutra/9-reason-fi-di-win-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,167,3,1.796407,,Reason fi di win,,4,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2120402439,A [02] Make America Gulag Again • F-bomb Ragga DUB,https://soundcloud.com/bananasutra/a-02-make-america-gulag-again-f-bomb-ragga-dub-2,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,177,2,1.129944,BLOWsutra,A [02] Make America Gulag Again,,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2120402427,A [03] Make America Gulag Again • F-bomb Ragga DUB,https://soundcloud.com/bananasutra/a-03-make-america-gulag-again-f-bomb-ragga-dub-3,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,151,1,0.662252,BLOWsutra,A [03] Make America Gulag Again,,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2120402430,A [04] Make America Gulag Again • F-bomb Ragga DUB,https://soundcloud.com/bananasutra/a-04-make-america-gulag-again-f-bomb-ragga-dub-4,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,204,1,0.490196,BLOWsutra,A [04] Make America Gulag Again,,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2120402457,A [05] Make America Gulag Again • F-bomb Ragga DUB,https://soundcloud.com/bananasutra/a-05-make-america-gulag-again-f-bomb-ragga-dub-5,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,164,1,0.609756,BLOWsutra,A [05] Make America Gulag Again,,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2120402448,A [06] Make America Gulag Again • Bruh Ragga DUB,https://soundcloud.com/bananasutra/a-06-make-america-gulag-again-bruh-ragga-dub-6,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,238,5,2.100840,QUACKsutra,Make Amurica Gulag Again (MAGA),L-151,1,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
