playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,sc_playlist_type,scplaylist_in_app,songbook_id
KNOWsutra : PEACE (not War),https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",39,49737,552,2:19:53,https://i1.sndcdn.com/artworks-4w582El0x5oIrs8P-HzEPOQ-t500x500.jpg,https://i1.sndcdn.com/artworks-4w582El0x5oIrs8P-HzEPOQ-t1080x1080.jpg,sutra,checked,G-01-PEAC
KNOWsutra : but(t) WHY,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",24,18477,199,1:21:20,https://i1.sndcdn.com/artworks-ZPm3MIrvf9zymSnp-CfTzsw-t500x500.jpg,https://i1.sndcdn.com/artworks-ZPm3MIrvf9zymSnp-CfTzsw-t1080x1080.jpg,sutra,checked,G-01-WHY
KNOWsutra where questions matter,https://soundcloud.com/bananasutra/sets/sutraknow,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",363,193412,1995,20:50:17,https://i1.sndcdn.com/artworks-anGiB4MZUOqXnHRN-rokGAw-t500x500.jpg,https://i1.sndcdn.com/artworks-anGiB4MZUOqXnHRN-rokGAw-t1080x1080.jpg,sutra (all),,
LOFIsutra,https://soundcloud.com/bananasutra/sets/lofisutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",302,182708,1719,15:37:27,https://i1.sndcdn.com/artworks-03WTBGq1a0FSjyzn-WEwcRg-t500x500.jpg,https://i1.sndcdn.com/artworks-03WTBGq1a0FSjyzn-WEwcRg-t1080x1080.jpg,genre (all),,
LOFIsutra (Best Of),https://soundcloud.com/bananasutra/sets/lofisutra-best-of,,LOFI,68,118728,1120,3:33:38,https://i1.sndcdn.com/artworks-XV1yrYzFlhLY4GGz-vazYKA-t500x500.jpg,https://i1.sndcdn.com/artworks-XV1yrYzFlhLY4GGz-vazYKA-t1080x1080.jpg,genre (best of),checked,G-00-LOFI
MANTRAsutra,https://soundcloud.com/bananasutra/sets/mantrasutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",78,20505,197,4:23:50,https://i1.sndcdn.com/artworks-YcyNpeBLycX9QvZI-cSnvcg-t500x500.jpg,https://i1.sndcdn.com/artworks-YcyNpeBLycX9QvZI-cSnvcg-t1080x1080.jpg,genre (all),,
MANTRAsutra (Best Of),https://soundcloud.com/bananasutra/sets/mantrasutra-best-of,,MANTRA,21,13269,177,1:11:55,https://i1.sndcdn.com/artworks-HoSD40eIsX92F6ug-iEu1fg-t500x500.jpg,https://i1.sndcdn.com/artworks-HoSD40eIsX92F6ug-iEu1fg-t1080x1080.jpg,genre (best of),checked,G-00-MANT
OUI OUI : Pardon (my French),https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french,,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",32,33361,339,1:49:40,https://i1.sndcdn.com/artworks-GLa538X1fUoCj8Yg-p3dNGg-t500x500.jpg,https://i1.sndcdn.com/artworks-GLa538X1fUoCj8Yg-p3dNGg-t1080x1080.jpg,sutra,checked,G-lang-FR
Playlist Sidération Gone Bananas x29,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas,BLOWsutra,"BLUES,JAZZ,LOFI",29,9929,76,1:28:13,https://i1.sndcdn.com/artworks-5zDi1XtdvEsTf986-eFnsyw-t500x500.jpg,https://i1.sndcdn.com/artworks-5zDi1XtdvEsTf986-eFnsyw-t1080x1080.jpg,collection,,G-02-SIDE
QUACKsutra : DUCK (shady),https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",31,12377,137,1:40:31,https://i1.sndcdn.com/artworks-o0qz0ucmBMzsR5UL-eS6HrA-t500x500.jpg,https://i1.sndcdn.com/artworks-o0qz0ucmBMzsR5UL-eS6HrA-t1080x1080.jpg,sutra,checked,G-02-DUC
QUACKsutra : FOTUS Circus,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,QUACKsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,7709,68,0:45:21,https://i1.sndcdn.com/artworks-JWP4i7BJc28GfvPW-mmFU9Q-t500x500.jpg,https://i1.sndcdn.com/artworks-JWP4i7BJc28GfvPW-mmFU9Q-t1080x1080.jpg,sutra,checked,G-02-CIRC
QUACKsutra where we sing FU,https://soundcloud.com/bananasutra/sets/ducksutra-where-we-sing-fu,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",282,97522,886,15:22:45,https://i1.sndcdn.com/artworks-DV4siAryy3RG3KTY-t5ZhRQ-t500x500.jpg,https://i1.sndcdn.com/artworks-DV4siAryy3RG3KTY-t5ZhRQ-t1080x1080.jpg,sutra (all),,
Questions for the (kind) POPE in the Sky,https://soundcloud.com/bananasutra/sets/questions-for-the-pope-in-the-sky,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",98,34349,302,5:01:39,https://i1.sndcdn.com/artworks-yCOtsWMP0bmkMYwo-dCBksA-t500x500.jpg,https://i1.sndcdn.com/artworks-yCOtsWMP0bmkMYwo-dCBksA-t1080x1080.jpg,collection,,
ROCKsutra,https://soundcloud.com/bananasutra/sets/rocksutra,,"BURLESQUE,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",91,27464,232,4:48:01,https://i1.sndcdn.com/artworks-RM7WHhN8qFyZxreU-hhcF1Q-t500x500.jpg,https://i1.sndcdn.com/artworks-RM7WHhN8qFyZxreU-hhcF1Q-t1080x1080.jpg,genre (all),,
ROCKsutra (Best Of),https://soundcloud.com/bananasutra/sets/rocksutra-best-of,,ROCK,15,16263,158,0:49:51,https://i1.sndcdn.com/artworks-cm4hZJP45iEWi61f-OzQ7hA-t500x500.jpg,https://i1.sndcdn.com/artworks-cm4hZJP45iEWi61f-OzQ7hA-t1080x1080.jpg,genre (best of),checked,G-00-ROCK
SHOWsutra : B.J. (is for Banana Jesters),https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",9,3374,37,0:30:16,https://i1.sndcdn.com/artworks-zvxXEnN1nhEehvpK-ABzMFA-t500x500.jpg,https://i1.sndcdn.com/artworks-zvxXEnN1nhEehvpK-ABzMFA-t1080x1080.jpg,sutra,checked,G-03-BJ
SHOWsutra : FANANA Club,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,SHOWsutra,"BANJO,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",24,13807,168,1:20:41,https://i1.sndcdn.com/artworks-SjuzUkSUCZpiPoz4-LnprBQ-t500x500.jpg,https://i1.sndcdn.com/artworks-SjuzUkSUCZpiPoz4-LnprBQ-t1080x1080.jpg,sutra,checked,G-03-FANA
SHOWsutra where bananas play,https://soundcloud.com/bananasutra/sets/sutrashow-where-bananas-get,SHOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",241,102699,991,13:43:02,https://i1.sndcdn.com/artworks-psPWeBgWhqP3BR76-8rTihA-t500x500.jpg,https://i1.sndcdn.com/artworks-psPWeBgWhqP3BR76-8rTihA-t1080x1080.jpg,sutra (all),,
SHOWsutra: (shades of) FOOLS,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI",8,2718,46,0:25:32,https://i1.sndcdn.com/artworks-GXTKcXAuyMmSbOsd-dz5iYQ-t500x500.jpg,https://i1.sndcdn.com/artworks-GXTKcXAuyMmSbOsd-dz5iYQ-t1080x1080.jpg,sutra,checked,G-03-FOOL
SINGLEsutra Exclusive SoundCloud (woo),https://soundcloud.com/bananasutra/sets/singlesutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",45,22543,291,2:17:26,https://i1.sndcdn.com/artworks-nKFxkPd7COBnHZAF-fy7sYw-t500x500.jpg,https://i1.sndcdn.com/artworks-nKFxkPd7COBnHZAF-fy7sYw-t1080x1080.jpg,collection,checked,G-SINGLES
WORLDsutra (Best Of),https://soundcloud.com/bananasutra/sets/worldsutra-best-of,,WORLD,2,3261,39,0:06:54,https://i1.sndcdn.com/artworks-fhn07viDnVztye2w-Meeehg-t500x500.jpg,https://i1.sndcdn.com/artworks-fhn07viDnVztye2w-Meeehg-t1080x1080.jpg,genre (best of),,
WORLDsutra : Russian(ish),https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,5888,68,1:01:23,https://i1.sndcdn.com/artworks-TUnq5K6T9gz6Lzs5-hw6yjw-t500x500.jpg,https://i1.sndcdn.com/artworks-TUnq5K6T9gz6Lzs5-hw6yjw-t1080x1080.jpg,collection,checked,G-lang-RU
WORLDsutra : SPAN(k)ish,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,,"INDIE,WORLD,DUB,JAZZ,MANTRA",4,3330,37,0:15:03,https://i1.sndcdn.com/artworks-V4ORYqjXscpH76UU-11PylA-t500x500.jpg,https://i1.sndcdn.com/artworks-V4ORYqjXscpH76UU-11PylA-t1080x1080.jpg,collection,checked,G-lang-ES
